selection_date,code,name,rank,similarity_score,best_match_case,best_match_date,category,reasons,buy_price,sell_price,return_pct,max_gain_pct,max_gain_day,sell_date,hold_days,trigger_10pct_date,trigger_5pct_date,trigger_neg2pct_date,trigger_neg4pct_date,trigger_10pct_day,trigger_5pct_day,first_reach_order,ever_below_zero,industry,industry_heat_buy,industry_heat_10pct,industry_heat_5pct,industry_heat_neg2pct,industry_heat_neg4pct,industry_heat_sell
2026-03-11,002273,水晶光电,5,94.01,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],25.9,26.03,0.5019305019305118,9.1891891891892,2,2026-03-16,5,,2026-03-13,,,,2,,True,未知,,,,,,
2026-03-09,603075,热威股份,1,94.77,case_007,2025-08-01,主板,['匹配case_007: 野马电池 - 持续缩量+J值深度低位+趋势下行'],22.7,22.64,-0.2643171806167345,3.4361233480176265,2,2026-03-16,5,,,,,,,,True,未知,,,,,,
2026-03-09,000517,荣安地产,2,94.43,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],2.06,2.08,0.9708737864077678,3.883495145631071,0,2026-03-16,5,,,,,,,,True,房地产,20.07,,,,,20.09
2026-03-09,300970,华绿生物,3,93.04,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],24.39,24.78,1.599015990159904,8.446084460844604,3,2026-03-16,5,,2026-03-10,,,,1,,True,未知,,,,,,
2026-03-09,603871,嘉友国际,4,92.97,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],14.98,15.32,2.2696929238985306,10.480640854472632,3,2026-03-16,5,2026-03-12,2026-03-10,,,3,1,"('5pct', '10pct')",True,交通,20.32,20.21,20.3,,,20.23
2026-03-09,002703,浙江世宝,5,92.89,case_008,2025-07-10,主板,['匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行'],23.34,22.68,-2.8277634961439593,3.127677806341047,2,2026-03-16,5,,,2026-03-09,2026-03-09,,,"('neg2pct', 'neg4pct')",True,未知,,,,,,
2026-03-10,603612,索通发展,1,96.0,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],31.39,32.61,3.8865880853775048,13.029627269831145,3,2026-03-16,5,2026-03-12,2026-03-12,,,2,2,"('10pct', '5pct')",True,化工,26.63,27.98,27.98,,,27.89
2026-03-10,601890,亚星锚链,2,94.98,case_008,2025-07-10,主板,['匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行'],12.21,11.8,-3.357903357903359,3.194103194103184,0,2026-03-16,5,,,2026-03-11,2026-03-12,,,"('neg2pct', 'neg4pct')",True,未知,,,,,,
2026-03-10,002283,天润工业,3,93.93,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],9.71,9.18,-5.458290422245119,1.6477857878475628,0,2026-03-16,5,,,2026-03-11,2026-03-11,,,"('neg2pct', 'neg4pct')",True,未知,,,,,,
2026-03-10,600136,ST明诚,4,93.47,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],1.82,1.79,-1.6483516483516498,1.6483516483516498,0,2026-03-16,5,,,2026-03-16,,,,,True,未知,,,,,,
2026-03-10,000668,*ST荣控,5,93.1,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],14.25,14.13,-0.8421052631578891,2.59649122807017,0,2026-03-16,5,,,2026-03-12,2026-03-13,,,"('neg2pct', 'neg4pct')",True,未知,,,,,,
2026-03-12,603790,雅运股份,1,95.11,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],24.5,23.14,-5.5510204081632635,1.4693877551020385,1,2026-03-17,5,,,2026-03-12,2026-03-12,,,"('neg2pct', 'neg4pct')",True,化工,27.98,,,27.98,27.98,27.89
2026-03-12,000655,金岭矿业,2,94.94,case_006,2025-08-04,中小板,['匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位'],10.27,9.85,-4.089581304771177,6.718597857838376,1,2026-03-17,5,,2026-03-13,2026-03-16,2026-03-16,,1,"('5pct', 'neg2pct', 'neg4pct')",True,未知,,,,,,
2026-03-12,002545,东方铁塔,3,94.82,case_006,2025-08-04,中小板,['匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位'],26.0,23.73,-8.73076923076923,9.769230769230766,1,2026-03-17,5,,2026-03-13,2026-03-16,2026-03-16,,1,"('5pct', 'neg2pct', 'neg4pct')",True,未知,,,,,,
2026-03-12,600010,包钢股份,4,94.42,case_008,2025-07-10,主板,['匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行'],2.95,2.78,-5.762711864406792,1.6949152542372818,1,2026-03-17,5,,,2026-03-13,2026-03-16,,,"('neg2pct', 'neg4pct')",True,钢铁,20.13,,,20.18,20.2,20.16
2026-03-12,002703,浙江世宝,5,94.27,case_003,2025-06-20,科创板,['匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位'],22.14,23.8,7.497741644083108,12.014453477868111,5,2026-03-17,5,2026-03-17,2026-03-12,2026-03-13,,5,0,"('5pct', 'neg2pct', '10pct')",True,未知,,,,,,
2026-03-13,300877,金春股份,1,95.71,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],31.11,29.08,-6.52523304403729,4.7251687560269975,0,2026-03-18,5,,,2026-03-17,2026-03-17,,,"('neg2pct', 'neg4pct')",True,计算机,80.0,,,80.0,80.0,80.0
2026-03-13,002114,罗平锌电,2,95.61,case_006,2025-08-04,中小板,['匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位'],9.52,9.13,-4.096638655462172,5.4621848739495755,0,2026-03-18,5,,2026-03-13,2026-03-16,2026-03-16,,0,"('5pct', 'neg2pct', 'neg4pct')",True,未知,,,,,,
2026-03-13,600010,包钢股份,3,95.19,case_003,2025-06-20,科创板,['匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位'],2.87,2.75,-4.181184668989551,4.529616724738672,0,2026-03-18,5,,,2026-03-16,2026-03-16,,,"('neg2pct', 'neg4pct')",True,钢铁,20.18,,,20.2,20.2,20.15
2026-03-13,601061,中信金属,4,95.08,case_006,2025-08-04,中小板,['匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位'],13.59,12.87,-5.298013245033117,3.3848417954378283,0,2026-03-18,5,,,2026-03-16,2026-03-16,,,"('neg2pct', 'neg4pct')",True,未知,,,,,,
