选股日期,排名,代码,名称,相似度,匹配案例,匹配案例描述,匹配日期,类型,推荐理由,买入价,卖出价,涨跌幅,最大涨幅,最大涨幅天数,卖出日期,持有天数,触发 +10% 日期,触发 +5% 日期,触发 -2% 日期,触发 -4% 日期,达到 +10% 天数,达到 +5% 天数,触发顺序,是否曾跌破成本价,行业,行业热度_买入日,行业热度_10pct 日,行业热度_5pct 日,行业热度_neg2pct 日,行业热度_neg4pct 日,行业热度_卖出日
2025-09-22,10,605060,联德股份,95.2%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,25.92,40.36,+55.71%,+55.71%,第45天,2025-11-06,45,2025-09-24,2025-09-23,2025-10-20,-,第2天,第1天,"('5pct', '10pct', 'neg2pct')",是,机械设备,57.74,59.21,63.7,51.75,,
2025-09-23,1,600196,复星医药,96.4%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,30.24,28.23,-6.65%,+2.71%,第0天,2025-11-07,45,-,-,2025-09-26,2025-09-29,-,-,"('neg2pct', 'neg4pct')",是,医药生物,51.12,,,45.34,43.9,
2025-09-23,2,300125,*ST聆达,96.0%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,7.96,10.72,+34.67%,+42.71%,第23天,2025-11-07,45,2025-09-30,2025-09-24,2025-09-23,-,第7天,第1天,"('neg2pct', '5pct', '10pct')",是,公用事业,34.33,30.62,31.28,34.33,,
2025-09-23,3,601595,上海电影,95.4%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,29.22,29.73,+1.75%,+7.80%,第43天,2025-11-07,45,-,2025-10-31,2025-10-10,2025-10-13,-,第38天,"('neg2pct', 'neg4pct', '5pct')",是,传媒,30.68,,38.31,22.31,22.05,
2025-09-23,4,603520,司太立,95.4%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,10.89,11.06,+1.56%,+8.17%,第16天,2025-11-07,45,-,2025-10-09,2025-09-23,2025-11-05,-,第16天,"('neg2pct', '5pct', 'neg4pct')",是,医药生物,51.12,,46.66,51.12,,
2025-09-23,5,000422,湖北宜化,95.3%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,13.05,15.33,+17.47%,+19.77%,第45天,2025-11-07,45,2025-09-29,2025-09-29,-,-,第6天,第6天,"('10pct', '5pct')",是,基础化工,68.47,68.22,68.22,,,
2025-09-23,6,000661,长春高新,95.2%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,118.6,104.5,-11.89%,+19.54%,第17天,2025-11-07,45,2025-09-26,2025-09-26,2025-10-23,2025-10-29,第3天,第3天,"('10pct', '5pct', 'neg2pct', 'neg4pct')",是,医药生物,51.12,45.34,45.34,51.87,50.68,
2025-09-23,7,300426,华智数媒,95.1%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,10.01,9.13,-8.79%,+3.90%,第2天,2025-11-07,45,-,-,2025-09-29,2025-10-09,-,-,"('neg2pct', 'neg4pct')",是,传媒,30.68,,,23.54,30.4,
2025-09-23,8,301603,乔锋智能,95.0%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,78.42,75.54,-3.67%,+7.50%,第35天,2025-11-07,45,-,2025-10-28,2025-09-23,2025-09-30,-,第35天,"('neg2pct', 'neg4pct', '5pct')",是,机械设备,63.7,,56.96,63.7,53.35,
2025-09-23,9,002816,*ST和科,94.6%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,18.29,24.82,+35.70%,+38.66%,第45天,2025-11-07,45,2025-10-10,2025-09-30,2025-09-23,-,第17天,第7天,"('neg2pct', '5pct', '10pct')",是,机械设备,63.7,54.25,53.35,63.7,,
2025-09-23,10,301305,朗坤科技,94.6%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,20.86,22.75,+9.06%,+11.70%,第45天,2025-11-07,45,2025-11-07,2025-10-28,2025-09-23,2025-09-26,第45天,第35天,"('neg2pct', 'neg4pct', '5pct', '10pct')",是,环保,24.99,,20.3,24.99,18.59,
2025-09-24,1,301257,普蕊斯,96.1%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,47.67,47.2,-0.99%,+17.05%,第36天,2025-11-10,45,2025-10-29,2025-10-29,2025-09-26,2025-09-26,第35天,第35天,"('neg2pct', 'neg4pct', '10pct', '5pct')",是,医药生物,40.9,50.68,50.68,45.34,45.34,
2025-09-24,2,300376,易事特,95.4%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,5.15,5.38,+4.47%,+7.38%,第33天,2025-11-10,45,-,2025-10-16,2025-09-26,2025-09-29,-,第22天,"('neg2pct', 'neg4pct', '5pct')",是,电力设备,79.51,,79.31,78.46,80.98,
2025-09-24,3,002663,普邦股份,95.4%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,2.06,2.34,+13.59%,+21.36%,第42天,2025-11-10,45,2025-10-21,2025-10-17,2025-09-24,2025-09-29,第27天,第23天,"('neg2pct', 'neg4pct', '5pct', '10pct')",是,建筑装饰,23.93,37.22,30.73,23.93,27.62,
2025-09-24,4,603613,国联股份,95.1%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,29.67,29.05,-2.09%,+7.45%,第22天,2025-11-10,45,-,2025-10-09,2025-09-24,2025-10-20,-,第15天,"('neg2pct', '5pct', 'neg4pct')",是,商贸零售,19.15,,29.36,19.15,22.68,
2025-09-24,5,300363,博腾股份,95.0%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,25.19,25.21,+0.08%,+9.85%,第35天,2025-11-10,45,-,2025-10-24,2025-09-24,2025-09-26,-,第30天,"('neg2pct', 'neg4pct', '5pct')",是,医药生物,40.9,,46.4,40.9,45.34,
2025-09-24,6,688375,国博电子,94.9%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,72.29,70.16,-2.95%,+10.83%,第15天,2025-11-10,45,2025-10-09,2025-09-25,2025-09-24,2025-10-23,第15天,第1天,"('neg2pct', '5pct', '10pct', 'neg4pct')",是,国防军工,23.49,32.18,28.57,23.49,29.89,
2025-09-24,7,603615,茶花股份,94.9%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,26.96,25.75,-4.49%,+1.26%,第0天,2025-11-10,45,-,-,2025-09-25,2025-09-25,-,-,"('neg2pct', 'neg4pct')",是,基础化工,67.06,,,64.55,64.55,
2025-09-24,8,600592,龙溪股份,94.8%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,28.3,22.4,-20.85%,+1.94%,第1天,2025-11-10,45,-,-,2025-09-24,2025-09-24,-,-,"('neg2pct', 'neg4pct')",是,机械设备,59.21,,,59.21,59.21,
2025-09-24,9,002211,ST宏达,94.8%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,3.39,3.75,+10.62%,+17.70%,第40天,2025-11-10,45,2025-10-30,2025-09-29,2025-09-24,-,第36天,第5天,"('neg2pct', '5pct', '10pct')",是,基础化工,67.06,69.84,68.22,67.06,,
2025-09-24,10,002021,中捷资源,94.3%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,2.76,2.76,+0.00%,+15.94%,第5天,2025-11-10,45,2025-09-25,2025-09-25,2025-09-24,-,第1天,第1天,"('neg2pct', '10pct', '5pct')",是,机械设备,59.21,57.1,57.1,59.21,,
2025-09-25,1,600233,圆通速递,95.6%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,18.72,16.85,-9.99%,+3.42%,第1天,2025-11-10,45,-,-,2025-09-30,2025-10-09,-,-,"('neg2pct', 'neg4pct')",是,纺织服饰,24.99,,,22.97,33.14,
2025-09-25,2,002131,利欧股份,95.2%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,5.88,5.08,-13.61%,+3.74%,第14天,2025-11-10,45,-,-,2025-09-25,2025-09-26,-,-,"('neg2pct', 'neg4pct')",是,综合,20.22,,,20.22,21.83,
2025-09-25,3,002903,宇环数控,95.0%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,23.38,24.48,+4.70%,+5.95%,第46天,2025-11-10,45,-,2025-11-07,2025-09-26,2025-09-29,-,第43天,"('neg2pct', 'neg4pct', '5pct')",是,机械设备,57.1,,,55.87,50.21,
2025-09-25,4,600569,安阳钢铁,94.9%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,2.11,2.62,+24.17%,+34.12%,第36天,2025-11-10,45,2025-10-10,2025-09-30,-,-,第15天,第5天,"('5pct', '10pct')",是,钢铁,28.78,24.76,26.28,,,
2025-09-25,5,301257,普蕊斯,94.5%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,47.46,47.2,-0.55%,+17.57%,第35天,2025-11-10,45,2025-10-29,2025-10-29,2025-09-26,2025-09-29,第34天,第34天,"('neg2pct', 'neg4pct', '10pct', '5pct')",是,医药生物,49.83,50.68,50.68,45.34,43.9,
