选股日期,排名,代码,名称,相似度,匹配案例,匹配案例描述,匹配日期,类型,推荐理由,买入价,卖出价,涨跌幅,最大涨幅,最大涨幅天数,卖出日期,持有天数,触发 +10% 日期,触发 -2% 日期,触发 -4% 日期,达到 +10% 天数,触发顺序
2025-07-18,7,688627,精智达,94.2%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,84.01,112.27,+33.64%,+35.91%,第45天,2025-09-01,45,2025-07-31,2025-07-21,-,第13天,"('neg2pct', '10pct')"
2025-07-18,8,600819,耀皮玻璃,94.2%,case_011 (航天发展),航天军工+量能异动+趋势突破,2025-11-12,主板,匹配case_011: 航天发展 - 航天军工+量能异动+趋势突破,6.482,6.182,-4.63%,+11.26%,第6天,2025-09-01,45,2025-07-24,2025-07-21,2025-08-01,第6天,"('neg2pct', '10pct', 'neg4pct')"
2025-07-18,9,601865,福莱特,94.2%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,16.06,17.91,+11.52%,+13.51%,第45天,2025-09-01,45,2025-07-25,-,-,第7天,-
2025-07-18,10,600969,郴电国际,94.2%,case_011 (航天发展),航天军工+量能异动+趋势突破,2025-11-12,主板,匹配case_011: 航天发展 - 航天军工+量能异动+趋势突破,7.68,7.29,-5.08%,+1.82%,第10天,2025-09-01,45,-,2025-07-31,2025-08-14,-,"('neg2pct', 'neg4pct')"
2025-07-22,1,600601,方正科技,100.0%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,5.37,9.64,+79.52%,+79.89%,第44天,2025-09-05,45,2025-07-28,2025-07-23,-,第6天,"('neg2pct', '10pct')"
2025-07-22,2,301366,一博科技,96.5%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,37.0,39.05,+5.54%,+24.24%,第27天,2025-09-05,45,2025-07-28,-,-,第6天,-
2025-07-22,3,301263,泰恩康,95.5%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,38.74,36.49,-5.81%,+5.78%,第14天,2025-09-05,45,-,2025-07-23,2025-07-23,-,"('neg2pct', 'neg4pct')"
2025-07-22,4,301586,佳力奇,95.4%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,58.4,50.7,-13.18%,+6.59%,第17天,2025-09-05,45,-,2025-07-23,2025-08-01,-,"('neg2pct', 'neg4pct')"
2025-07-22,5,301577,美信科技,95.2%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,58.65,58.83,+0.31%,+17.43%,第34天,2025-09-05,45,2025-08-19,2025-09-04,-,第28天,"('10pct', 'neg2pct')"
2025-07-22,6,002095,生 意 宝,95.1%,case_011 (航天发展),航天军工+量能异动+趋势突破,2025-11-12,主板,匹配case_011: 航天发展 - 航天军工+量能异动+趋势突破,21.56,20.73,-3.85%,+8.26%,第22天,2025-09-05,45,-,2025-07-23,2025-07-30,-,"('neg2pct', 'neg4pct')"
2025-07-22,7,600287,苏豪时尚,95.0%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,5.76,5.86,+1.74%,+12.85%,第38天,2025-09-05,45,2025-08-27,2025-07-25,-,第36天,"('neg2pct', '10pct')"
2025-07-22,8,688073,毕得医药,95.0%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,59.46,65.0,+9.32%,+22.17%,第31天,2025-09-05,45,2025-08-22,2025-07-24,2025-08-07,第31天,"('neg2pct', 'neg4pct', '10pct')"
2025-07-22,9,688270,臻镭科技,95.0%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,45.11,70.45,+56.17%,+87.92%,第38天,2025-09-05,45,2025-07-28,-,-,第6天,-
2025-07-22,10,301282,金禄电子,94.4%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,24.582,27.012,+9.89%,+23.27%,第29天,2025-09-05,45,2025-08-11,-,-,第20天,-
2025-07-24,1,688489,三未信安,96.1%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,40.84,50.85,+24.51%,+45.69%,第29天,2025-09-08,45,2025-08-21,2025-08-01,-,第28天,"('neg2pct', '10pct')"
2025-07-24,2,000722,湖南发展,96.1%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,12.98,12.38,-4.62%,+5.70%,第33天,2025-09-08,45,-,2025-07-28,2025-07-31,-,"('neg2pct', 'neg4pct')"
2025-07-24,3,600589,大位科技,95.8%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,8.46,7.89,-6.74%,+15.72%,第34天,2025-09-08,45,2025-08-27,2025-07-29,2025-07-30,第34天,"('neg2pct', 'neg4pct', '10pct')"
2025-07-24,4,002798,帝欧水华,95.0%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,6.52,6.57,+0.77%,+16.56%,第27天,2025-09-08,45,2025-08-20,2025-07-29,2025-07-30,第27天,"('neg2pct', 'neg4pct', '10pct')"
2025-07-24,5,300600,国瑞科技,94.9%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,14.95,16.37,+9.50%,+59.67%,第14天,2025-09-08,45,2025-07-30,2025-07-24,-,第6天,"('neg2pct', '10pct')"
2025-07-24,6,300995,奇德新材,94.7%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,42.535,56.125,+31.95%,+57.01%,第26天,2025-09-08,45,2025-08-06,2025-07-25,2025-07-29,第13天,"('neg2pct', 'neg4pct', '10pct')"
2025-07-24,7,600016,民生银行,94.5%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,4.964,4.274,-13.90%,+3.02%,第0天,2025-09-08,45,-,2025-07-29,2025-07-31,-,"('neg2pct', 'neg4pct')"
2025-07-24,8,300913,兆龙互连,94.4%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,47.23,54.52,+15.44%,+48.19%,第35天,2025-09-08,45,2025-08-05,-,-,第12天,-
2025-07-24,9,600644,乐山电力,94.3%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,14.65,11.81,-19.39%,+1.09%,第15天,2025-09-08,45,-,2025-07-24,2025-07-28,-,"('neg2pct', 'neg4pct')"
2025-07-24,10,603499,翔港科技,94.3%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,15.9,18.92,+18.99%,+28.93%,第39天,2025-09-08,45,2025-08-11,2025-07-31,-,第18天,"('neg2pct', '10pct')"
2025-07-23,1,300533,冰川网络,97.3%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,35.58,39.75,+11.72%,+26.48%,第34天,2025-09-08,45,2025-08-14,2025-07-24,2025-07-24,第22天,"('neg2pct', 'neg4pct', '10pct')"
2025-07-23,2,600601,方正科技,97.0%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,5.29,9.28,+75.43%,+82.61%,第43天,2025-09-08,45,2025-07-28,-,-,第5天,-
2025-07-23,3,688489,三未信安,96.8%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,40.88,50.85,+24.39%,+45.55%,第30天,2025-09-08,45,2025-08-21,2025-07-23,-,第29天,"('neg2pct', '10pct')"
2025-07-23,4,300317,珈伟新能,95.7%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,4.15,4.49,+8.19%,+17.11%,第41天,2025-09-08,45,2025-09-02,2025-07-31,2025-08-28,第41天,"('neg2pct', 'neg4pct', '10pct')"
2025-07-23,5,002212,天融信,95.3%,case_008 (光电股份),缩量后放量+J值低位+趋势上行,2025-07-10,主板,匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行,8.05,10.15,+26.09%,+69.19%,第36天,2025-09-08,45,2025-08-21,2025-08-12,-,第29天,"('neg2pct', '10pct')"
2025-07-23,6,300032,金龙机电,95.2%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,5.2,5.34,+2.69%,+15.58%,第28天,2025-09-08,45,2025-08-19,2025-09-04,-,第27天,"('10pct', 'neg2pct')"
2025-07-23,7,688073,毕得医药,95.2%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,59.2,65.84,+11.22%,+22.70%,第30天,2025-09-08,45,2025-08-22,2025-07-25,2025-08-07,第30天,"('neg2pct', 'neg4pct', '10pct')"
2025-07-23,8,300995,奇德新材,95.2%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,43.425,56.125,+29.25%,+53.79%,第27天,2025-09-08,45,2025-08-11,2025-07-24,2025-07-25,第19天,"('neg2pct', 'neg4pct', '10pct')"
2025-07-23,9,603800,洪田股份,95.1%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,26.01,50.03,+92.35%,+130.68%,第22天,2025-09-08,45,2025-07-25,2025-07-23,-,第2天,"('neg2pct', '10pct')"
2025-07-23,10,688717,艾罗能源,95.1%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,57.803,81.753,+41.43%,+45.19%,第47天,2025-09-08,45,2025-08-13,2025-07-30,2025-07-31,第21天,"('neg2pct', 'neg4pct', '10pct')"
