选股日期,排名,代码,名称,相似度,匹配案例,匹配案例描述,匹配日期,类型,推荐理由,买入价,卖出价,涨跌幅,最大涨幅,最大涨幅天数,卖出日期,持有天数,触发 +10% 日期,触发 -2% 日期,触发 -4% 日期,触发顺序
2025-09-09,1,002356,赫美集团,94.8%,case_011 (航天发展),航天军工+量能异动+趋势突破,2025-11-12,主板,匹配case_011: 航天发展 - 航天军工+量能异动+趋势突破,3.6,3.59,-0.28%,+11.39%,第13天,2025-10-24,45,2025-09-22,2025-09-18,2025-09-29,"('neg2pct', '10pct', 'neg4pct')"
2025-09-09,2,603379,三美股份,94.6%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,56.22,56.14,-0.14%,+10.14%,第31天,2025-10-24,45,2025-10-10,2025-09-16,2025-09-23,"('neg2pct', 'neg4pct', '10pct')"
2025-09-09,3,000753,漳州发展,94.2%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,6.665,7.335,+10.05%,+22.36%,第35天,2025-10-24,45,2025-09-17,2025-09-11,-,"('neg2pct', '10pct')"
2025-09-09,4,600222,太龙药业,94.2%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,6.627,6.537,-1.36%,+6.19%,第8天,2025-10-24,45,-,2025-09-11,2025-09-19,"('neg2pct', 'neg4pct')"
2025-09-09,5,002241,歌尔股份,93.9%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,31.033,33.133,+6.77%,+30.61%,第30天,2025-10-24,45,2025-09-22,2025-09-11,-,"('neg2pct', '10pct')"
2025-09-09,6,300098,高新兴,93.8%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,5.67,5.59,-1.41%,+10.93%,第6天,2025-10-24,45,2025-09-15,2025-10-13,2025-10-13,"('10pct', 'neg2pct', 'neg4pct')"
2025-09-09,7,300601,康泰生物,93.8%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,18.61,16.51,-11.28%,+3.55%,第1天,2025-10-24,45,-,2025-09-11,2025-09-11,"('neg2pct', 'neg4pct')"
2025-09-09,8,688260,昀冢科技,93.7%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,30.57,31.4,+2.72%,+25.88%,第31天,2025-10-24,45,2025-10-09,2025-09-10,2025-09-23,"('neg2pct', 'neg4pct', '10pct')"
2025-09-09,9,003015,日久光电,93.7%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,17.69,17.35,-1.92%,+6.56%,第16天,2025-10-24,45,-,2025-09-29,2025-09-30,"('neg2pct', 'neg4pct')"
2025-09-09,10,300418,昆仑万维,93.7%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,38.87,41.27,+6.17%,+38.92%,第16天,2025-10-24,45,2025-09-12,-,-,-
2025-09-08,1,600864,哈投股份,94.3%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,7.44,8.03,+7.93%,+9.41%,第45天,2025-10-23,45,-,2025-09-18,2025-09-19,"('neg2pct', 'neg4pct')"
2025-09-08,2,300561,*ST汇科,93.9%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,16.54,16.59,+0.30%,+9.61%,第9天,2025-10-23,45,-,2025-09-22,2025-09-23,"('neg2pct', 'neg4pct')"
2025-09-08,3,003010,若羽臣,93.7%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,42.186,41.41,-1.84%,+15.82%,第38天,2025-10-23,45,2025-10-16,2025-09-09,2025-09-09,"('neg2pct', 'neg4pct', '10pct')"
2025-09-08,4,600058,五矿发展,93.6%,case_011 (航天发展),航天军工+量能异动+趋势突破,2025-11-12,主板,匹配case_011: 航天发展 - 航天军工+量能异动+趋势突破,9.45,9.1,-3.70%,+6.35%,第4天,2025-10-23,45,-,2025-09-11,2025-09-18,"('neg2pct', 'neg4pct')"
2025-09-08,5,000737,北方铜业,93.4%,case_008 (光电股份),缩量后放量+J值低位+趋势上行,2025-07-10,主板,匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行,11.99,15.32,+27.77%,+57.46%,第32天,2025-10-23,45,2025-09-12,2025-09-10,-,"('neg2pct', '10pct')"
2025-09-08,6,688260,昀冢科技,93.4%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,31.01,31.6,+1.90%,+24.09%,第32天,2025-10-23,45,2025-10-09,2025-09-08,2025-09-11,"('neg2pct', 'neg4pct', '10pct')"
2025-09-08,7,603379,三美股份,92.9%,case_008 (光电股份),缩量后放量+J值低位+趋势上行,2025-07-10,主板,匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行,57.43,55.56,-3.26%,+7.82%,第32天,2025-10-23,45,-,2025-09-09,2025-09-16,"('neg2pct', 'neg4pct')"
2025-09-08,8,601601,中国太保,92.8%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,37.55,37.34,-0.56%,+2.00%,第4天,2025-10-23,45,-,2025-09-15,2025-09-17,"('neg2pct', 'neg4pct')"
2025-09-08,9,002993,奥海科技,92.7%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,44.728,44.088,-1.43%,+7.09%,第10天,2025-10-23,45,-,2025-09-09,2025-09-09,"('neg2pct', 'neg4pct')"
2025-09-08,10,300380,安硕信息,92.7%,case_008 (光电股份),缩量后放量+J值低位+趋势上行,2025-07-10,主板,匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行,50.97,45.64,-10.46%,+8.85%,第9天,2025-10-23,45,-,2025-09-09,2025-09-09,"('neg2pct', 'neg4pct')"
2025-09-05,1,000776,广发证券,95.0%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,20.49,22.62,+10.40%,+19.81%,第35天,2025-10-20,45,2025-09-29,2025-09-05,-,"('neg2pct', '10pct')"
2025-09-05,2,300211,*ST亿通,94.7%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,10.16,9.73,-4.23%,+4.13%,第34天,2025-10-20,45,-,2025-09-05,2025-09-12,"('neg2pct', 'neg4pct')"
2025-09-05,3,300255,常山药业,94.4%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,47.59,50.98,+7.12%,+9.25%,第45天,2025-10-20,45,-,2025-09-05,2025-09-05,"('neg2pct', 'neg4pct')"
2025-09-05,4,300561,*ST汇科,94.4%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,16.56,15.46,-6.64%,+9.48%,第12天,2025-10-20,45,-,2025-09-05,2025-09-23,"('neg2pct', 'neg4pct')"
2025-09-05,5,301091,深城交,94.1%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,32.18,32.5,+0.99%,+14.73%,第39天,2025-10-20,45,2025-10-13,2025-09-05,-,"('neg2pct', '10pct')"
2025-09-05,6,300380,安硕信息,93.7%,case_008 (光电股份),缩量后放量+J值低位+趋势上行,2025-07-10,主板,匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行,51.47,45.93,-10.76%,+7.79%,第12天,2025-10-20,45,-,2025-09-05,2025-09-09,"('neg2pct', 'neg4pct')"
2025-09-05,7,688309,恒誉环保,93.5%,case_001 (华纳药厂),杯型整理+缩量+J值低位,2025-05-12,科创板,匹配case_001: 华纳药厂 - 杯型整理+缩量+J值低位,24.84,24.23,-2.46%,+7.29%,第6天,2025-10-20,45,-,2025-09-19,2025-09-22,"('neg2pct', 'neg4pct')"
2025-09-05,8,003010,若羽臣,93.1%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,42.15,43.85,+4.03%,+15.92%,第41天,2025-10-20,45,2025-10-16,2025-09-05,2025-09-05,"('neg2pct', 'neg4pct', '10pct')"
2025-09-05,9,600284,浦东建设,93.1%,case_011 (航天发展),航天军工+量能异动+趋势突破,2025-11-12,主板,匹配case_011: 航天发展 - 航天军工+量能异动+趋势突破,8.59,8.28,-3.61%,+23.05%,第21天,2025-10-20,45,2025-09-18,2025-09-05,2025-10-17,"('neg2pct', '10pct', 'neg4pct')"
2025-09-05,10,600864,哈投股份,92.9%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,7.48,7.61,+1.74%,+3.61%,第45天,2025-10-20,45,-,2025-09-05,2025-09-19,"('neg2pct', 'neg4pct')"
2025-09-11,1,688775,影石创新,95.2%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,317.49,302.83,-4.62%,+5.19%,第7天,2025-10-27,45,-,2025-09-15,2025-09-15,"('neg2pct', 'neg4pct')"
2025-09-11,2,003006,百亚股份,95.2%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,29.46,23.4,-20.57%,+0.48%,第1天,2025-10-27,45,-,2025-09-11,2025-09-15,"('neg2pct', 'neg4pct')"
2025-09-11,3,001395,亚联机械,94.9%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,52.32,48.59,-7.13%,+1.15%,第1天,2025-10-27,45,-,2025-09-12,2025-09-18,"('neg2pct', 'neg4pct')"
2025-09-11,4,688301,奕瑞科技,94.5%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,111.3,114.57,+2.94%,+13.21%,第29天,2025-10-27,45,2025-10-09,2025-09-11,-,"('neg2pct', '10pct')"
2025-09-11,5,603115,海星股份,94.5%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,19.42,19.06,-1.85%,+1.44%,第0天,2025-10-27,45,-,2025-09-11,2025-09-15,"('neg2pct', 'neg4pct')"
2025-09-11,6,600712,南宁百货,94.4%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,7.48,7.09,-5.21%,+6.28%,第1天,2025-10-27,45,-,2025-09-11,2025-09-17,"('neg2pct', 'neg4pct')"
2025-09-11,7,300889,爱克股份,93.5%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,19.32,22.75,+17.75%,+19.77%,第46天,2025-10-27,45,2025-10-22,2025-09-15,2025-09-16,"('neg2pct', 'neg4pct', '10pct')"
2025-09-11,8,300093,*ST金刚,93.0%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,12.153,11.422,-6.01%,+10.15%,第11天,2025-10-27,45,2025-09-22,2025-09-16,2025-09-22,"('neg2pct', '10pct', 'neg4pct')"
2025-09-11,9,301446,福事特,92.9%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,28.59,33.33,+16.58%,+33.44%,第41天,2025-10-27,45,2025-09-18,2025-09-11,-,"('neg2pct', '10pct')"
2025-09-11,10,688696,极米科技,92.2%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,125.68,106.9,-14.94%,+3.82%,第1天,2025-10-27,45,-,2025-09-11,2025-09-23,"('neg2pct', 'neg4pct')"
2025-09-12,1,000920,沃顿科技,95.3%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,12.31,13.25,+7.64%,+11.45%,第33天,2025-10-27,45,2025-10-15,2025-09-18,2025-09-22,"('neg2pct', 'neg4pct', '10pct')"
2025-09-12,2,002521,齐峰新材,95.2%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,9.63,9.14,-5.09%,+3.53%,第32天,2025-10-27,45,-,2025-09-16,2025-09-18,"('neg2pct', 'neg4pct')"
2025-09-12,3,605338,巴比食品,95.1%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,23.59,25.18,+6.74%,+12.67%,第33天,2025-10-27,45,2025-10-15,2025-09-18,2025-09-18,"('neg2pct', 'neg4pct', '10pct')"
2025-09-12,4,688310,迈得医疗,94.4%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,19.7,21.03,+6.75%,+10.15%,第39天,2025-10-27,45,2025-10-21,2025-09-12,2025-09-18,"('neg2pct', 'neg4pct', '10pct')"
2025-09-12,5,688169,石头科技,94.1%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,197.0,185.01,-6.09%,+11.44%,第5天,2025-10-27,45,2025-09-17,2025-10-13,2025-10-13,"('10pct', 'neg2pct', 'neg4pct')"
2025-09-12,6,301446,福事特,94.0%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,28.52,33.33,+16.87%,+33.77%,第40天,2025-10-27,45,2025-09-18,2025-09-15,-,"('neg2pct', '10pct')"
2025-09-12,7,605077,华康股份,94.0%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,18.44,18.08,-1.95%,+5.64%,第31天,2025-10-27,45,-,2025-09-18,2025-09-18,"('neg2pct', 'neg4pct')"
2025-09-12,8,688301,奕瑞科技,93.7%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,111.48,114.57,+2.77%,+13.02%,第28天,2025-10-27,45,2025-10-09,2025-09-15,-,"('neg2pct', '10pct')"
2025-09-12,9,605008,长鸿高科,93.1%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,14.89,18.62,+25.05%,+27.60%,第45天,2025-10-27,45,2025-10-10,2025-09-15,2025-09-18,"('neg2pct', 'neg4pct', '10pct')"
2025-09-12,10,300256,星星科技,93.1%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,4.49,4.17,-7.13%,+8.46%,第5天,2025-10-27,45,-,2025-09-23,2025-09-23,"('neg2pct', 'neg4pct')"
2025-09-15,1,688301,奕瑞科技,96.5%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,109.82,111.68,+1.69%,+14.73%,第25天,2025-10-30,45,2025-10-09,-,-,-
2025-09-15,2,002476,宝莫股份,95.8%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,5.44,5.71,+4.96%,+18.38%,第29天,2025-10-30,45,2025-09-18,-,-,-
2025-09-15,3,301053,远信工业,94.8%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,36.1,34.5,-4.43%,+7.78%,第15天,2025-10-30,45,-,2025-09-18,2025-09-19,"('neg2pct', 'neg4pct')"
2025-09-15,4,600712,南宁百货,94.8%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,7.37,6.89,-6.51%,+2.44%,第0天,2025-10-30,45,-,2025-09-17,2025-09-18,"('neg2pct', 'neg4pct')"
2025-09-15,5,600130,*ST波导,94.7%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,3.92,3.99,+1.79%,+3.32%,第39天,2025-10-30,45,-,2025-09-18,2025-09-18,"('neg2pct', 'neg4pct')"
2025-09-15,6,300357,我武生物,94.3%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,30.37,33.6,+10.64%,+17.68%,第43天,2025-10-30,45,2025-10-24,2025-09-18,2025-09-18,"('neg2pct', 'neg4pct', '10pct')"
2025-09-15,7,300972,万辰集团,94.2%,case_001 (华纳药厂),杯型整理+缩量+J值低位,2025-05-12,科创板,匹配case_001: 华纳药厂 - 杯型整理+缩量+J值低位,167.35,174.76,+4.43%,+21.21%,第37天,2025-10-30,45,2025-10-10,-,-,-
2025-09-15,8,600426,华鲁恒升,94.1%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,26.031,25.501,-2.04%,+5.46%,第25天,2025-10-30,45,-,2025-09-18,2025-09-22,"('neg2pct', 'neg4pct')"
2025-09-15,9,605338,巴比食品,94.1%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,23.63,24.92,+5.46%,+12.48%,第30天,2025-10-30,45,2025-10-15,2025-09-18,2025-09-18,"('neg2pct', 'neg4pct', '10pct')"
2025-09-15,10,688775,影石创新,93.9%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,312.35,307.3,-1.62%,+6.92%,第3天,2025-10-30,45,-,2025-09-15,2025-09-22,"('neg2pct', 'neg4pct')"
2025-09-16,1,688696,极米科技,97.1%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,124.97,102.61,-17.89%,+3.46%,第2天,2025-10-31,45,-,2025-09-22,2025-09-23,"('neg2pct', 'neg4pct')"
2025-09-16,2,688578,艾力斯,95.9%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,110.36,107.55,-2.55%,+4.10%,第42天,2025-10-31,45,-,2025-09-17,2025-09-23,"('neg2pct', 'neg4pct')"
2025-09-16,3,688283,坤恒顺维,95.5%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,33.72,32.04,-4.98%,+2.25%,第14天,2025-10-31,45,-,2025-09-16,2025-09-18,"('neg2pct', 'neg4pct')"
2025-09-16,4,600712,南宁百货,95.2%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,7.35,7.21,-1.90%,+1.90%,第0天,2025-10-31,45,-,2025-09-17,2025-09-18,"('neg2pct', 'neg4pct')"
2025-09-16,5,000830,鲁西化工,95.2%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,14.11,13.48,-4.46%,+5.74%,第24天,2025-10-31,45,-,2025-09-16,2025-09-23,"('neg2pct', 'neg4pct')"
2025-09-16,6,002294,信立泰,95.2%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,52.73,59.61,+13.05%,+24.46%,第9天,2025-10-31,45,2025-09-24,2025-09-22,2025-09-23,"('neg2pct', 'neg4pct', '10pct')"
2025-09-16,7,600426,华鲁恒升,95.1%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,25.871,25.421,-1.74%,+6.11%,第24天,2025-10-31,45,-,2025-09-22,2025-09-23,"('neg2pct', 'neg4pct')"
2025-09-16,8,688775,影石创新,95.0%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,309.02,300.55,-2.74%,+8.08%,第2天,2025-10-31,45,-,2025-09-22,2025-09-22,"('neg2pct', 'neg4pct')"
2025-09-16,9,300357,我武生物,95.0%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,30.55,33.86,+10.83%,+16.99%,第42天,2025-10-31,45,2025-10-24,2025-09-16,2025-09-18,"('neg2pct', 'neg4pct', '10pct')"
2025-09-16,10,600596,新安股份,94.5%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,10.74,10.08,-6.15%,+3.35%,第24天,2025-10-31,45,-,2025-09-18,2025-09-22,"('neg2pct', 'neg4pct')"
2025-09-17,1,000830,鲁西化工,96.9%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,14.07,13.54,-3.77%,+6.04%,第23天,2025-11-03,45,-,2025-09-23,2025-09-23,"('neg2pct', 'neg4pct')"
2025-09-17,2,600486,扬农化工,96.8%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,71.95,67.25,-6.53%,+3.14%,第0天,2025-11-03,45,-,2025-09-22,2025-09-22,"('neg2pct', 'neg4pct')"
2025-09-17,3,600865,百大集团,96.8%,case_011 (航天发展),航天军工+量能异动+趋势突破,2025-11-12,主板,匹配case_011: 航天发展 - 航天军工+量能异动+趋势突破,10.05,9.17,-8.76%,+0.90%,第0天,2025-11-03,45,-,2025-09-18,2025-09-19,"('neg2pct', 'neg4pct')"
